----------------
running with CPU
----------------
input file data/input/toyDetector_1000.csv
output file data/output/toyDetector_1000_3_5_5_8.csv
Start to load input points
Finished loading input points
--- prepareDataStructures:     36.0378 ms
--- calculateLocalDensity:     119.89 ms
--- calculateDistanceToHigher: 165.583 ms
--- findSeedAndFollowers:      25.6171 ms
--- assignClusters:            6.19318 ms
Elapsed time: 371.476 ms
--- prepareDataStructures:     35.6435 ms
--- calculateLocalDensity:     119.744 ms
--- calculateDistanceToHigher: 164.561 ms
--- findSeedAndFollowers:      25.6299 ms
--- assignClusters:            6.15007 ms
Elapsed time: 369.911 ms
--- prepareDataStructures:     35.5413 ms
--- calculateLocalDensity:     119.845 ms
--- calculateDistanceToHigher: 164.657 ms
--- findSeedAndFollowers:      25.6395 ms
--- assignClusters:            6.25061 ms
Elapsed time: 370.209 ms
--- prepareDataStructures:     35.5922 ms
--- calculateLocalDensity:     119.563 ms
--- calculateDistanceToHigher: 165.631 ms
--- findSeedAndFollowers:      25.6321 ms
--- assignClusters:            6.20752 ms
Elapsed time: 370.869 ms
--- prepareDataStructures:     35.4219 ms
--- calculateLocalDensity:     119.626 ms
--- calculateDistanceToHigher: 164.881 ms
--- findSeedAndFollowers:      25.6828 ms
--- assignClusters:            6.19287 ms
Elapsed time: 370.004 ms
--- prepareDataStructures:     35.4262 ms
--- calculateLocalDensity:     119.392 ms
--- calculateDistanceToHigher: 164.495 ms
--- findSeedAndFollowers:      25.8142 ms
--- assignClusters:            6.30877 ms
Elapsed time: 369.8 ms
--- prepareDataStructures:     35.9203 ms
--- calculateLocalDensity:     119.512 ms
--- calculateDistanceToHigher: 165.328 ms
--- findSeedAndFollowers:      25.8507 ms
--- assignClusters:            6.29739 ms
Elapsed time: 371.063 ms
--- prepareDataStructures:     35.5355 ms
--- calculateLocalDensity:     119.914 ms
--- calculateDistanceToHigher: 164.541 ms
--- findSeedAndFollowers:      25.8569 ms
--- assignClusters:            6.39272 ms
Elapsed time: 370.459 ms
--- prepareDataStructures:     35.4321 ms
--- calculateLocalDensity:     119.646 ms
--- calculateDistanceToHigher: 164.535 ms
--- findSeedAndFollowers:      25.791 ms
--- assignClusters:            6.13738 ms
Elapsed time: 369.729 ms
--- prepareDataStructures:     35.5213 ms
--- calculateLocalDensity:     119.474 ms
--- calculateDistanceToHigher: 164.85 ms
--- findSeedAndFollowers:      25.7608 ms
--- assignClusters:            6.25986 ms
Elapsed time: 370.156 ms
--- prepareDataStructures:     35.5439 ms
--- calculateLocalDensity:     119.688 ms
--- calculateDistanceToHigher: 165.13 ms
--- findSeedAndFollowers:      25.7369 ms
--- assignClusters:            6.2736 ms
Elapsed time: 370.559 ms
--- prepareDataStructures:     35.5919 ms
--- calculateLocalDensity:     119.928 ms
--- calculateDistanceToHigher: 164.832 ms
--- findSeedAndFollowers:      25.7113 ms
--- assignClusters:            6.28221 ms
Elapsed time: 370.655 ms
--- prepareDataStructures:     35.7055 ms
--- calculateLocalDensity:     119.478 ms
--- calculateDistanceToHigher: 178.573 ms
--- findSeedAndFollowers:      31.2173 ms
--- assignClusters:            6.32992 ms
Elapsed time: 390.852 ms
--- prepareDataStructures:     35.5985 ms
--- calculateLocalDensity:     119.55 ms
--- calculateDistanceToHigher: 164.565 ms
--- findSeedAndFollowers:      25.7344 ms
--- assignClusters:            6.22678 ms
Elapsed time: 369.988 ms
--- prepareDataStructures:     35.6201 ms
--- calculateLocalDensity:     119.721 ms
--- calculateDistanceToHigher: 165.052 ms
--- findSeedAndFollowers:      25.5618 ms
--- assignClusters:            6.20841 ms
Elapsed time: 370.267 ms
--- prepareDataStructures:     35.4673 ms
--- calculateLocalDensity:     125.82 ms
--- calculateDistanceToHigher: 173.59 ms
--- findSeedAndFollowers:      31.0867 ms
--- assignClusters:            6.29529 ms
Elapsed time: 390.448 ms
--- prepareDataStructures:     35.316 ms
--- calculateLocalDensity:     119.562 ms
--- calculateDistanceToHigher: 164.139 ms
--- findSeedAndFollowers:      25.8977 ms
--- assignClusters:            6.23967 ms
Elapsed time: 369.443 ms
--- prepareDataStructures:     35.4609 ms
--- calculateLocalDensity:     119.618 ms
--- calculateDistanceToHigher: 164.554 ms
--- findSeedAndFollowers:      25.6951 ms
--- assignClusters:            6.2782 ms
Elapsed time: 369.737 ms
--- prepareDataStructures:     35.4097 ms
--- calculateLocalDensity:     119.487 ms
--- calculateDistanceToHigher: 164.914 ms
--- findSeedAndFollowers:      25.5531 ms
--- assignClusters:            6.2115 ms
Elapsed time: 369.66 ms
--- prepareDataStructures:     35.363 ms
--- calculateLocalDensity:     119.247 ms
--- calculateDistanceToHigher: 166.947 ms
--- findSeedAndFollowers:      32.8716 ms
--- assignClusters:            6.28036 ms
Elapsed time: 388.477 ms
--- prepareDataStructures:     35.5737 ms
--- calculateLocalDensity:     119.534 ms
--- calculateDistanceToHigher: 164.737 ms
--- findSeedAndFollowers:      25.6655 ms
--- assignClusters:            6.18537 ms
Elapsed time: 369.833 ms
--- prepareDataStructures:     35.6231 ms
--- calculateLocalDensity:     119.24 ms
--- calculateDistanceToHigher: 164.736 ms
--- findSeedAndFollowers:      25.5806 ms
--- assignClusters:            6.1756 ms
Elapsed time: 369.581 ms
--- prepareDataStructures:     35.7428 ms
--- calculateLocalDensity:     119.724 ms
--- calculateDistanceToHigher: 165.308 ms
--- findSeedAndFollowers:      26.019 ms
--- assignClusters:            6.2415 ms
Elapsed time: 371.19 ms
--- prepareDataStructures:     35.5458 ms
--- calculateLocalDensity:     119.6 ms
--- calculateDistanceToHigher: 165.289 ms
--- findSeedAndFollowers:      25.549 ms
--- assignClusters:            6.22534 ms
Elapsed time: 370.399 ms
--- prepareDataStructures:     35.4888 ms
--- calculateLocalDensity:     119.471 ms
--- calculateDistanceToHigher: 164.397 ms
--- findSeedAndFollowers:      25.8231 ms
--- assignClusters:            6.2146 ms
Elapsed time: 369.714 ms
--- prepareDataStructures:     35.7053 ms
--- calculateLocalDensity:     119.273 ms
--- calculateDistanceToHigher: 164.421 ms
--- findSeedAndFollowers:      25.5407 ms
--- assignClusters:            6.1873 ms
Elapsed time: 369.33 ms
--- prepareDataStructures:     35.5114 ms
--- calculateLocalDensity:     119.564 ms
--- calculateDistanceToHigher: 164.457 ms
--- findSeedAndFollowers:      25.4866 ms
--- assignClusters:            6.21652 ms
Elapsed time: 369.383 ms
--- prepareDataStructures:     35.6388 ms
--- calculateLocalDensity:     132.487 ms
--- calculateDistanceToHigher: 167.691 ms
--- findSeedAndFollowers:      31.0663 ms
--- assignClusters:            6.23493 ms
Elapsed time: 391.311 ms
--- prepareDataStructures:     35.7151 ms
--- calculateLocalDensity:     119.157 ms
--- calculateDistanceToHigher: 165.017 ms
--- findSeedAndFollowers:      25.6587 ms
--- assignClusters:            6.20684 ms
Elapsed time: 370.02 ms
--- prepareDataStructures:     35.3506 ms
--- calculateLocalDensity:     119.74 ms
--- calculateDistanceToHigher: 164.918 ms
--- findSeedAndFollowers:      25.6549 ms
--- assignClusters:            6.20882 ms
Elapsed time: 369.925 ms
--- prepareDataStructures:     35.6698 ms
--- calculateLocalDensity:     119.577 ms
--- calculateDistanceToHigher: 164.582 ms
--- findSeedAndFollowers:      25.6853 ms
--- assignClusters:            6.25459 ms
Elapsed time: 370.029 ms
--- prepareDataStructures:     35.3716 ms
--- calculateLocalDensity:     119.732 ms
--- calculateDistanceToHigher: 164.752 ms
--- findSeedAndFollowers:      25.5452 ms
--- assignClusters:            6.27811 ms
Elapsed time: 370.263 ms
--- prepareDataStructures:     35.3277 ms
--- calculateLocalDensity:     119.284 ms
--- calculateDistanceToHigher: 165.296 ms
--- findSeedAndFollowers:      25.7893 ms
--- assignClusters:            6.29275 ms
Elapsed time: 370.1 ms
--- prepareDataStructures:     35.4572 ms
--- calculateLocalDensity:     119.618 ms
--- calculateDistanceToHigher: 164.51 ms
--- findSeedAndFollowers:      25.6015 ms
--- assignClusters:            6.31857 ms
Elapsed time: 369.62 ms
--- prepareDataStructures:     35.4485 ms
--- calculateLocalDensity:     118.984 ms
--- calculateDistanceToHigher: 165.146 ms
--- findSeedAndFollowers:      25.7464 ms
--- assignClusters:            6.2048 ms
Elapsed time: 369.753 ms
--- prepareDataStructures:     35.5919 ms
--- calculateLocalDensity:     119.551 ms
--- calculateDistanceToHigher: 164.843 ms
--- findSeedAndFollowers:      25.8767 ms
--- assignClusters:            6.17993 ms
Elapsed time: 370.214 ms
--- prepareDataStructures:     35.5655 ms
--- calculateLocalDensity:     119.458 ms
--- calculateDistanceToHigher: 164.495 ms
--- findSeedAndFollowers:      25.7037 ms
--- assignClusters:            6.13983 ms
Elapsed time: 369.54 ms
--- prepareDataStructures:     35.433 ms
--- calculateLocalDensity:     119.661 ms
--- calculateDistanceToHigher: 165.418 ms
--- findSeedAndFollowers:      26.1877 ms
--- assignClusters:            6.39922 ms
Elapsed time: 371.474 ms
--- prepareDataStructures:     36.0252 ms
--- calculateLocalDensity:     119.315 ms
--- calculateDistanceToHigher: 166.939 ms
--- findSeedAndFollowers:      32.7694 ms
--- assignClusters:            6.30056 ms
Elapsed time: 389.245 ms
--- prepareDataStructures:     35.3988 ms
--- calculateLocalDensity:     119.583 ms
--- calculateDistanceToHigher: 165.308 ms
--- findSeedAndFollowers:      25.6871 ms
--- assignClusters:            6.19669 ms
Elapsed time: 370.519 ms
--- prepareDataStructures:     35.4698 ms
--- calculateLocalDensity:     119.61 ms
--- calculateDistanceToHigher: 164.926 ms
--- findSeedAndFollowers:      25.981 ms
--- assignClusters:            6.24733 ms
Elapsed time: 370.474 ms
--- prepareDataStructures:     35.4288 ms
--- calculateLocalDensity:     119.408 ms
--- calculateDistanceToHigher: 165.242 ms
--- findSeedAndFollowers:      25.6172 ms
--- assignClusters:            6.23052 ms
Elapsed time: 370.51 ms
--- prepareDataStructures:     35.3907 ms
--- calculateLocalDensity:     119.59 ms
--- calculateDistanceToHigher: 165.004 ms
--- findSeedAndFollowers:      25.6131 ms
--- assignClusters:            6.23379 ms
Elapsed time: 370.039 ms
--- prepareDataStructures:     35.6146 ms
--- calculateLocalDensity:     119.465 ms
--- calculateDistanceToHigher: 165.333 ms
--- findSeedAndFollowers:      25.7475 ms
--- assignClusters:            6.24294 ms
Elapsed time: 370.86 ms
--- prepareDataStructures:     35.509 ms
--- calculateLocalDensity:     119.593 ms
--- calculateDistanceToHigher: 164.24 ms
--- findSeedAndFollowers:      25.5534 ms
--- assignClusters:            6.50112 ms
Elapsed time: 369.495 ms
--- prepareDataStructures:     35.3926 ms
--- calculateLocalDensity:     119.54 ms
--- calculateDistanceToHigher: 164.751 ms
--- findSeedAndFollowers:      25.5675 ms
--- assignClusters:            6.29908 ms
Elapsed time: 369.615 ms
--- prepareDataStructures:     35.4901 ms
--- calculateLocalDensity:     119.863 ms
--- calculateDistanceToHigher: 165.215 ms
--- findSeedAndFollowers:      25.5715 ms
--- assignClusters:            6.36245 ms
Elapsed time: 370.522 ms
--- prepareDataStructures:     35.555 ms
--- calculateLocalDensity:     119.384 ms
--- calculateDistanceToHigher: 164.495 ms
--- findSeedAndFollowers:      25.559 ms
--- assignClusters:            6.22597 ms
Elapsed time: 369.479 ms
--- prepareDataStructures:     35.6544 ms
--- calculateLocalDensity:     119.906 ms
--- calculateDistanceToHigher: 165.508 ms
--- findSeedAndFollowers:      25.6461 ms
--- assignClusters:            6.27778 ms
Elapsed time: 371.573 ms
--- prepareDataStructures:     35.4684 ms
--- calculateLocalDensity:     119.676 ms
--- calculateDistanceToHigher: 164.561 ms
--- findSeedAndFollowers:      25.5028 ms
--- assignClusters:            6.20746 ms
Elapsed time: 369.569 ms
--- prepareDataStructures:     35.3467 ms
--- calculateLocalDensity:     119.537 ms
--- calculateDistanceToHigher: 164.828 ms
--- findSeedAndFollowers:      25.7651 ms
--- assignClusters:            6.26701 ms
Elapsed time: 369.956 ms
--- prepareDataStructures:     35.4112 ms
--- calculateLocalDensity:     119.12 ms
--- calculateDistanceToHigher: 165.349 ms
--- findSeedAndFollowers:      25.8078 ms
--- assignClusters:            6.27998 ms
Elapsed time: 370.353 ms
--- prepareDataStructures:     35.3987 ms
--- calculateLocalDensity:     119.279 ms
--- calculateDistanceToHigher: 164.584 ms
--- findSeedAndFollowers:      25.5759 ms
--- assignClusters:            6.25135 ms
Elapsed time: 369.692 ms
--- prepareDataStructures:     35.4687 ms
--- calculateLocalDensity:     119.402 ms
--- calculateDistanceToHigher: 164.696 ms
--- findSeedAndFollowers:      25.6113 ms
--- assignClusters:            6.17939 ms
Elapsed time: 369.611 ms
--- prepareDataStructures:     35.6445 ms
--- calculateLocalDensity:     119.278 ms
--- calculateDistanceToHigher: 165.295 ms
--- findSeedAndFollowers:      25.8692 ms
--- assignClusters:            6.18136 ms
Elapsed time: 370.494 ms
--- prepareDataStructures:     35.4261 ms
--- calculateLocalDensity:     119.463 ms
--- calculateDistanceToHigher: 164.349 ms
--- findSeedAndFollowers:      25.9923 ms
--- assignClusters:            6.18431 ms
Elapsed time: 369.678 ms
--- prepareDataStructures:     35.4369 ms
--- calculateLocalDensity:     119.635 ms
--- calculateDistanceToHigher: 164.373 ms
--- findSeedAndFollowers:      25.6527 ms
--- assignClusters:            6.1974 ms
Elapsed time: 369.578 ms
--- prepareDataStructures:     35.3397 ms
--- calculateLocalDensity:     119.448 ms
--- calculateDistanceToHigher: 173.9 ms
--- findSeedAndFollowers:      31.5717 ms
--- assignClusters:            6.26428 ms
Elapsed time: 388.673 ms
--- prepareDataStructures:     35.3438 ms
--- calculateLocalDensity:     119.361 ms
--- calculateDistanceToHigher: 165.025 ms
--- findSeedAndFollowers:      25.5439 ms
--- assignClusters:            6.19531 ms
Elapsed time: 369.712 ms
--- prepareDataStructures:     35.6111 ms
--- calculateLocalDensity:     119.701 ms
--- calculateDistanceToHigher: 173.89 ms
--- findSeedAndFollowers:      28.1361 ms
--- assignClusters:            6.54105 ms
Elapsed time: 382.523 ms
--- prepareDataStructures:     37.0109 ms
--- calculateLocalDensity:     120.784 ms
--- calculateDistanceToHigher: 165.326 ms
--- findSeedAndFollowers:      25.4365 ms
--- assignClusters:            6.08366 ms
Elapsed time: 372.826 ms
--- prepareDataStructures:     36.1595 ms
--- calculateLocalDensity:     120.63 ms
--- calculateDistanceToHigher: 165.27 ms
--- findSeedAndFollowers:      25.9574 ms
--- assignClusters:            6.26172 ms
Elapsed time: 372.609 ms
--- prepareDataStructures:     36.0691 ms
--- calculateLocalDensity:     120.005 ms
--- calculateDistanceToHigher: 165.913 ms
--- findSeedAndFollowers:      27.2918 ms
--- assignClusters:            6.33769 ms
Elapsed time: 374.297 ms
--- prepareDataStructures:     37.9295 ms
--- calculateLocalDensity:     127.409 ms
--- calculateDistanceToHigher: 176.844 ms
--- findSeedAndFollowers:      27.2756 ms
--- assignClusters:            6.47136 ms
Elapsed time: 394.855 ms
--- prepareDataStructures:     37.5235 ms
--- calculateLocalDensity:     127.154 ms
--- calculateDistanceToHigher: 175.201 ms
--- findSeedAndFollowers:      27.0772 ms
--- assignClusters:            6.28796 ms
Elapsed time: 392.089 ms
--- prepareDataStructures:     37.4849 ms
--- calculateLocalDensity:     124.31 ms
--- calculateDistanceToHigher: 166.867 ms
--- findSeedAndFollowers:      26.2194 ms
--- assignClusters:            6.21737 ms
Elapsed time: 379.446 ms
--- prepareDataStructures:     36.0392 ms
--- calculateLocalDensity:     121.246 ms
--- calculateDistanceToHigher: 166.496 ms
--- findSeedAndFollowers:      26.1369 ms
--- assignClusters:            6.21781 ms
Elapsed time: 374.615 ms
--- prepareDataStructures:     36.1994 ms
--- calculateLocalDensity:     121.109 ms
--- calculateDistanceToHigher: 166.579 ms
--- findSeedAndFollowers:      25.5471 ms
--- assignClusters:            6.21544 ms
Elapsed time: 374.014 ms
--- prepareDataStructures:     35.8784 ms
--- calculateLocalDensity:     121.224 ms
--- calculateDistanceToHigher: 167.467 ms
--- findSeedAndFollowers:      26.2176 ms
--- assignClusters:            6.24903 ms
Elapsed time: 375.468 ms
--- prepareDataStructures:     35.6011 ms
--- calculateLocalDensity:     119.346 ms
--- calculateDistanceToHigher: 164.924 ms
--- findSeedAndFollowers:      25.7133 ms
--- assignClusters:            6.22272 ms
Elapsed time: 370.231 ms
--- prepareDataStructures:     35.3728 ms
--- calculateLocalDensity:     119.588 ms
--- calculateDistanceToHigher: 164.536 ms
--- findSeedAndFollowers:      25.5295 ms
--- assignClusters:            6.23894 ms
Elapsed time: 369.582 ms
--- prepareDataStructures:     35.3638 ms
--- calculateLocalDensity:     119.362 ms
--- calculateDistanceToHigher: 165.398 ms
--- findSeedAndFollowers:      25.891 ms
--- assignClusters:            6.11365 ms
Elapsed time: 370.377 ms
--- prepareDataStructures:     36.1116 ms
--- calculateLocalDensity:     121.248 ms
--- calculateDistanceToHigher: 166.339 ms
--- findSeedAndFollowers:      25.6747 ms
--- assignClusters:            6.18336 ms
Elapsed time: 374.102 ms
--- prepareDataStructures:     35.3008 ms
--- calculateLocalDensity:     119.46 ms
--- calculateDistanceToHigher: 164.266 ms
--- findSeedAndFollowers:      25.8235 ms
--- assignClusters:            6.15147 ms
Elapsed time: 369.095 ms
--- prepareDataStructures:     35.5773 ms
--- calculateLocalDensity:     119.496 ms
--- calculateDistanceToHigher: 165.477 ms
--- findSeedAndFollowers:      25.9879 ms
--- assignClusters:            6.29591 ms
Elapsed time: 370.989 ms
--- prepareDataStructures:     35.4156 ms
--- calculateLocalDensity:     119.494 ms
--- calculateDistanceToHigher: 164.913 ms
--- findSeedAndFollowers:      25.6944 ms
--- assignClusters:            6.24209 ms
Elapsed time: 370.28 ms
--- prepareDataStructures:     35.4158 ms
--- calculateLocalDensity:     119.382 ms
--- calculateDistanceToHigher: 165.549 ms
--- findSeedAndFollowers:      25.663 ms
--- assignClusters:            6.25132 ms
Elapsed time: 370.478 ms
--- prepareDataStructures:     35.5976 ms
--- calculateLocalDensity:     119.919 ms
--- calculateDistanceToHigher: 164.893 ms
--- findSeedAndFollowers:      25.6498 ms
--- assignClusters:            6.30167 ms
Elapsed time: 370.483 ms
--- prepareDataStructures:     35.9357 ms
--- calculateLocalDensity:     119.949 ms
--- calculateDistanceToHigher: 167.023 ms
--- findSeedAndFollowers:      26.058 ms
--- assignClusters:            6.33101 ms
Elapsed time: 373.655 ms
Finished running CLUE algorithm

input file data/input/toyDetector_7000.csv
output file data/output/toyDetector_7000_3_5_5_8.csv
Start to load input points
Finished loading input points
Start to run CLUE algorithm
--- prepareDataStructures:     63.6221 ms
--- calculateLocalDensity:     189.965 ms
--- calculateDistanceToHigher: 211.254 ms
--- findSeedAndFollowers:      38.9323 ms
--- assignClusters:            9.89466 ms
Elapsed time: 544.219 ms
--- prepareDataStructures:     42.2982 ms
--- calculateLocalDensity:     146.922 ms
--- calculateDistanceToHigher: 211.36 ms
--- findSeedAndFollowers:      34.8724 ms
--- assignClusters:            9.93816 ms
Elapsed time: 465.596 ms
--- prepareDataStructures:     42.0452 ms
--- calculateLocalDensity:     147.049 ms
--- calculateDistanceToHigher: 212.888 ms
--- findSeedAndFollowers:      37.6009 ms
--- assignClusters:            13.2032 ms
Elapsed time: 483.781 ms
--- prepareDataStructures:     42.3509 ms
--- calculateLocalDensity:     147.624 ms
--- calculateDistanceToHigher: 214.241 ms
--- findSeedAndFollowers:      35.3143 ms
--- assignClusters:            9.94436 ms
Elapsed time: 470.172 ms
--- prepareDataStructures:     42.1958 ms
--- calculateLocalDensity:     147.514 ms
--- calculateDistanceToHigher: 213.032 ms
--- findSeedAndFollowers:      35.1273 ms
--- assignClusters:            9.97339 ms
Elapsed time: 468.129 ms
--- prepareDataStructures:     41.8039 ms
--- calculateLocalDensity:     146.727 ms
--- calculateDistanceToHigher: 211.603 ms
--- findSeedAndFollowers:      34.929 ms
--- assignClusters:            10.0142 ms
Elapsed time: 465.29 ms
--- prepareDataStructures:     41.7068 ms
--- calculateLocalDensity:     146.763 ms
--- calculateDistanceToHigher: 213.683 ms
--- findSeedAndFollowers:      35.3099 ms
--- assignClusters:            10.0163 ms
Elapsed time: 467.999 ms
--- prepareDataStructures:     47.3916 ms
--- calculateLocalDensity:     147.311 ms
--- calculateDistanceToHigher: 211.391 ms
--- findSeedAndFollowers:      34.925 ms
--- assignClusters:            9.91579 ms
Elapsed time: 482.75 ms
--- prepareDataStructures:     41.7642 ms
--- calculateLocalDensity:     146.534 ms
--- calculateDistanceToHigher: 210.956 ms
--- findSeedAndFollowers:      35.0112 ms
--- assignClusters:            9.99421 ms
Elapsed time: 464.726 ms
--- prepareDataStructures:     42.0272 ms
--- calculateLocalDensity:     148.196 ms
--- calculateDistanceToHigher: 212.192 ms
--- findSeedAndFollowers:      34.8619 ms
--- assignClusters:            10.0189 ms
Elapsed time: 467.735 ms
--- prepareDataStructures:     41.9057 ms
--- calculateLocalDensity:     146.638 ms
--- calculateDistanceToHigher: 210.961 ms
--- findSeedAndFollowers:      35.0173 ms
--- assignClusters:            10.0568 ms
Elapsed time: 464.782 ms
--- prepareDataStructures:     41.8602 ms
--- calculateLocalDensity:     146.573 ms
--- calculateDistanceToHigher: 210.788 ms
--- findSeedAndFollowers:      35.0071 ms
--- assignClusters:            9.93359 ms
Elapsed time: 464.483 ms
--- prepareDataStructures:     41.7408 ms
--- calculateLocalDensity:     146.764 ms
--- calculateDistanceToHigher: 209.806 ms
--- findSeedAndFollowers:      34.8817 ms
--- assignClusters:            9.99124 ms
Elapsed time: 463.482 ms
--- prepareDataStructures:     41.6589 ms
--- calculateLocalDensity:     146.784 ms
--- calculateDistanceToHigher: 211.107 ms
--- findSeedAndFollowers:      34.847 ms
--- assignClusters:            10.0545 ms
Elapsed time: 464.502 ms
--- prepareDataStructures:     47.6825 ms
--- calculateLocalDensity:     148.751 ms
--- calculateDistanceToHigher: 211.494 ms
--- findSeedAndFollowers:      39.5586 ms
--- assignClusters:            10.1212 ms
Elapsed time: 484.898 ms
--- prepareDataStructures:     42.2471 ms
--- calculateLocalDensity:     148.708 ms
--- calculateDistanceToHigher: 213.872 ms
--- findSeedAndFollowers:      35.1689 ms
--- assignClusters:            10.007 ms
Elapsed time: 470.46 ms
--- prepareDataStructures:     41.822 ms
--- calculateLocalDensity:     146.797 ms
--- calculateDistanceToHigher: 211.846 ms
--- findSeedAndFollowers:      36.2807 ms
--- assignClusters:            10.2967 ms
Elapsed time: 467.935 ms
--- prepareDataStructures:     43.4505 ms
--- calculateLocalDensity:     148.298 ms
--- calculateDistanceToHigher: 211.439 ms
--- findSeedAndFollowers:      35.2576 ms
--- assignClusters:            9.90973 ms
Elapsed time: 468.999 ms
--- prepareDataStructures:     42.2563 ms
--- calculateLocalDensity:     146.92 ms
--- calculateDistanceToHigher: 211.061 ms
--- findSeedAndFollowers:      34.9806 ms
--- assignClusters:            10.0936 ms
Elapsed time: 465.575 ms
--- prepareDataStructures:     41.9251 ms
--- calculateLocalDensity:     146.871 ms
--- calculateDistanceToHigher: 210.875 ms
--- findSeedAndFollowers:      35.0505 ms
--- assignClusters:            9.99493 ms
Elapsed time: 464.962 ms
--- prepareDataStructures:     41.7282 ms
--- calculateLocalDensity:     146.659 ms
--- calculateDistanceToHigher: 211.144 ms
--- findSeedAndFollowers:      34.9725 ms
--- assignClusters:            9.81039 ms
Elapsed time: 464.473 ms
--- prepareDataStructures:     41.697 ms
--- calculateLocalDensity:     146.41 ms
--- calculateDistanceToHigher: 210.995 ms
--- findSeedAndFollowers:      34.9467 ms
--- assignClusters:            10.1063 ms
Elapsed time: 464.431 ms
--- prepareDataStructures:     42.0212 ms
--- calculateLocalDensity:     146.424 ms
--- calculateDistanceToHigher: 211.137 ms
--- findSeedAndFollowers:      34.808 ms
--- assignClusters:            9.95165 ms
Elapsed time: 464.42 ms
--- prepareDataStructures:     42.0677 ms
--- calculateLocalDensity:     146.349 ms
--- calculateDistanceToHigher: 211.354 ms
--- findSeedAndFollowers:      34.9142 ms
--- assignClusters:            9.92431 ms
Elapsed time: 464.893 ms
--- prepareDataStructures:     41.7435 ms
--- calculateLocalDensity:     146.945 ms
--- calculateDistanceToHigher: 209.954 ms
--- findSeedAndFollowers:      34.9103 ms
--- assignClusters:            9.9168 ms
Elapsed time: 463.621 ms
--- prepareDataStructures:     41.9591 ms
--- calculateLocalDensity:     146.583 ms
--- calculateDistanceToHigher: 209.746 ms
--- findSeedAndFollowers:      35.1307 ms
--- assignClusters:            9.91132 ms
Elapsed time: 463.663 ms
--- prepareDataStructures:     44.8602 ms
--- calculateLocalDensity:     148.693 ms
--- calculateDistanceToHigher: 212.784 ms
--- findSeedAndFollowers:      35.0627 ms
--- assignClusters:            10.0498 ms
Elapsed time: 481.229 ms
--- prepareDataStructures:     41.7635 ms
--- calculateLocalDensity:     146.706 ms
--- calculateDistanceToHigher: 210.7 ms
--- findSeedAndFollowers:      35.1023 ms
--- assignClusters:            9.91805 ms
Elapsed time: 464.488 ms
--- prepareDataStructures:     41.7231 ms
--- calculateLocalDensity:     148.166 ms
--- calculateDistanceToHigher: 213.227 ms
--- findSeedAndFollowers:      35.3093 ms
--- assignClusters:            10.0581 ms
Elapsed time: 468.577 ms
--- prepareDataStructures:     41.7061 ms
--- calculateLocalDensity:     147.891 ms
--- calculateDistanceToHigher: 213.111 ms
--- findSeedAndFollowers:      34.9369 ms
--- assignClusters:            9.84979 ms
Elapsed time: 468.183 ms
--- prepareDataStructures:     41.8513 ms
--- calculateLocalDensity:     147.538 ms
--- calculateDistanceToHigher: 212.482 ms
--- findSeedAndFollowers:      35.4073 ms
--- assignClusters:            10.0356 ms
Elapsed time: 467.794 ms
--- prepareDataStructures:     41.7007 ms
--- calculateLocalDensity:     146.789 ms
--- calculateDistanceToHigher: 210.821 ms
--- findSeedAndFollowers:      35.4893 ms
--- assignClusters:            9.85017 ms
Elapsed time: 465.104 ms
--- prepareDataStructures:     41.9276 ms
--- calculateLocalDensity:     146.78 ms
--- calculateDistanceToHigher: 210.983 ms
--- findSeedAndFollowers:      34.967 ms
--- assignClusters:            9.96476 ms
Elapsed time: 464.779 ms
--- prepareDataStructures:     41.8211 ms
--- calculateLocalDensity:     146.38 ms
--- calculateDistanceToHigher: 211.306 ms
--- findSeedAndFollowers:      35.0695 ms
--- assignClusters:            10.0411 ms
Elapsed time: 464.837 ms
--- prepareDataStructures:     41.8148 ms
--- calculateLocalDensity:     146.653 ms
--- calculateDistanceToHigher: 210.216 ms
--- findSeedAndFollowers:      35.157 ms
--- assignClusters:            9.89715 ms
Elapsed time: 463.888 ms
--- prepareDataStructures:     41.8401 ms
--- calculateLocalDensity:     146.476 ms
--- calculateDistanceToHigher: 211.756 ms
--- findSeedAndFollowers:      35.0842 ms
--- assignClusters:            10.1559 ms
Elapsed time: 465.948 ms
--- prepareDataStructures:     45.2561 ms
--- calculateLocalDensity:     154.782 ms
--- calculateDistanceToHigher: 225.247 ms
--- findSeedAndFollowers:      36.9198 ms
--- assignClusters:            10.3125 ms
Elapsed time: 493.959 ms
--- prepareDataStructures:     44.0327 ms
--- calculateLocalDensity:     150.088 ms
--- calculateDistanceToHigher: 220.099 ms
--- findSeedAndFollowers:      36.2814 ms
--- assignClusters:            10.3175 ms
Elapsed time: 481.371 ms
--- prepareDataStructures:     44.7496 ms
--- calculateLocalDensity:     156.073 ms
--- calculateDistanceToHigher: 218.958 ms
--- findSeedAndFollowers:      36.2801 ms
--- assignClusters:            10.1231 ms
Elapsed time: 487.038 ms
--- prepareDataStructures:     42.099 ms
--- calculateLocalDensity:     149.636 ms
--- calculateDistanceToHigher: 217.699 ms
--- findSeedAndFollowers:      35.0745 ms
--- assignClusters:            10.0341 ms
Elapsed time: 475.093 ms
--- prepareDataStructures:     43.2947 ms
--- calculateLocalDensity:     147.981 ms
